realisation,NoEvents,NoTriggers,MaxTriggersYear,TriggerPerYear,YearsPerTrigger
284.0,140.0,7.0,1.0,0.35,2.857142857142857
285.0,136.0,7.0,1.0,0.35,2.857142857142857
286.0,135.0,7.0,1.0,0.35,2.857142857142857
287.0,133.0,7.0,1.0,0.35,2.857142857142857
288.0,138.0,6.0,1.0,0.3,3.3333333333333335
289.0,135.0,6.0,1.0,0.3,3.3333333333333335
290.0,130.0,6.0,1.0,0.3,3.3333333333333335
291.0,133.0,7.0,1.0,0.35,2.857142857142857
292.0,130.0,6.0,1.0,0.3,3.3333333333333335
293.0,126.0,5.0,1.0,0.25,4.0
294.0,127.0,5.0,1.0,0.25,4.0
295.0,129.0,6.0,1.0,0.3,3.3333333333333335
296.0,137.0,6.0,1.0,0.3,3.3333333333333335
297.0,150.0,6.0,1.0,0.3,3.3333333333333335
298.0,145.0,6.0,1.0,0.3,3.3333333333333335
299.0,141.0,6.0,1.0,0.3,3.3333333333333335
300.0,140.0,7.0,1.0,0.35,2.857142857142857
301.0,136.0,8.0,1.0,0.4,2.5
302.0,136.0,7.0,1.0,0.35,2.857142857142857
303.0,124.0,7.0,1.0,0.35,2.857142857142857
304.0,117.0,6.0,1.0,0.3,3.3333333333333335
305.0,121.0,6.0,1.0,0.3,3.3333333333333335
306.0,127.0,5.0,1.0,0.25,4.0
307.0,127.0,5.0,1.0,0.25,4.0
308.0,124.0,6.0,1.0,0.3,3.3333333333333335
309.0,123.0,6.0,1.0,0.3,3.3333333333333335
310.0,126.0,7.0,1.0,0.35,2.857142857142857
311.0,125.0,6.0,1.0,0.3,3.3333333333333335
312.0,133.0,6.0,1.0,0.3,3.3333333333333335
313.0,135.0,6.0,1.0,0.3,3.3333333333333335
314.0,139.0,7.0,1.0,0.35,2.857142857142857
315.0,135.0,6.0,1.0,0.3,3.3333333333333335
316.0,133.0,7.0,1.0,0.35,2.857142857142857
317.0,126.0,7.0,1.0,0.35,2.857142857142857
318.0,133.0,7.0,1.0,0.35,2.857142857142857
319.0,133.0,6.0,1.0,0.3,3.3333333333333335
320.0,133.0,6.0,1.0,0.3,3.3333333333333335
321.0,140.0,6.0,1.0,0.3,3.3333333333333335
322.0,136.0,6.0,1.0,0.3,3.3333333333333335
323.0,141.0,6.0,1.0,0.3,3.3333333333333335
324.0,144.0,6.0,1.0,0.3,3.3333333333333335
325.0,141.0,7.0,1.0,0.35,2.857142857142857
326.0,135.0,8.0,1.0,0.4,2.5
327.0,137.0,9.0,1.0,0.45,2.2222222222222223
328.0,134.0,9.0,1.0,0.45,2.2222222222222223
329.0,135.0,9.0,1.0,0.45,2.2222222222222223
330.0,127.0,8.0,1.0,0.4,2.5
331.0,123.0,8.0,1.0,0.4,2.5
332.0,113.0,8.0,1.0,0.4,2.5
333.0,116.0,8.0,1.0,0.4,2.5
334.0,112.0,7.0,1.0,0.35,2.857142857142857
335.0,116.0,8.0,1.0,0.4,2.5
336.0,122.0,7.0,1.0,0.35,2.857142857142857
337.0,121.0,7.0,1.0,0.35,2.857142857142857
338.0,113.0,7.0,1.0,0.35,2.857142857142857
339.0,115.0,7.0,1.0,0.35,2.857142857142857
340.0,116.0,7.0,1.0,0.35,2.857142857142857
341.0,114.0,7.0,1.0,0.35,2.857142857142857
342.0,115.0,7.0,1.0,0.35,2.857142857142857
343.0,109.0,7.0,1.0,0.35,2.857142857142857
344.0,105.0,7.0,1.0,0.35,2.857142857142857
345.0,101.0,6.0,1.0,0.3,3.3333333333333335
346.0,101.0,5.0,1.0,0.25,4.0
347.0,96.0,4.0,1.0,0.2,5.0
348.0,95.0,3.0,1.0,0.15,6.666666666666667
349.0,101.0,4.0,1.0,0.2,5.0
350.0,103.0,4.0,1.0,0.2,5.0
351.0,103.0,5.0,1.0,0.25,4.0
352.0,108.0,5.0,1.0,0.25,4.0
353.0,109.0,5.0,1.0,0.25,4.0
354.0,113.0,6.0,1.0,0.3,3.3333333333333335
355.0,115.0,5.0,1.0,0.25,4.0
356.0,112.0,6.0,1.0,0.3,3.3333333333333335
357.0,108.0,6.0,1.0,0.3,3.3333333333333335
358.0,109.0,6.0,1.0,0.3,3.3333333333333335
359.0,103.0,6.0,1.0,0.3,3.3333333333333335
360.0,103.0,5.0,1.0,0.25,4.0
361.0,99.0,4.0,1.0,0.2,5.0
362.0,103.0,5.0,1.0,0.25,4.0
363.0,110.0,6.0,1.0,0.3,3.3333333333333335
364.0,110.0,7.0,1.0,0.35,2.857142857142857
365.0,112.0,7.0,1.0,0.35,2.857142857142857
366.0,106.0,7.0,1.0,0.35,2.857142857142857
367.0,107.0,7.0,1.0,0.35,2.857142857142857
368.0,104.0,7.0,1.0,0.35,2.857142857142857
369.0,102.0,6.0,1.0,0.3,3.3333333333333335
370.0,103.0,6.0,1.0,0.3,3.3333333333333335
371.0,105.0,5.0,1.0,0.25,4.0
372.0,112.0,6.0,1.0,0.3,3.3333333333333335
373.0,105.0,6.0,1.0,0.3,3.3333333333333335
374.0,105.0,5.0,1.0,0.25,4.0
375.0,105.0,5.0,1.0,0.25,4.0
376.0,105.0,4.0,1.0,0.2,5.0
377.0,106.0,4.0,1.0,0.2,5.0
378.0,109.0,4.0,1.0,0.2,5.0
379.0,115.0,5.0,1.0,0.25,4.0
380.0,111.0,6.0,1.0,0.3,3.3333333333333335
381.0,110.0,6.0,1.0,0.3,3.3333333333333335
382.0,104.0,5.0,1.0,0.25,4.0
383.0,102.0,4.0,1.0,0.2,5.0
